,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"good 4 u","Olivia Rodrigo",7397613,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
2,"Todo De Ti","Rauw Alejandro",5138644,https://open.spotify.com/track/4fSIb4hdOQ151TILNsSEaF
3,"MONTERO (Call Me By Your Name)","Lil Nas X",5089504,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
4,Yonaguni,"Bad Bunny",4936579,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
5,"Kiss Me More (feat. SZA)","Doja Cat",4612404,https://open.spotify.com/track/748mdHapucXQri7IAO8yFK
6,Beggin',Måneskin,4507224,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
7,"Levitating (feat. DaBaby)","Dua Lipa",3790116,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
8,Butter,BTS,3758646,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
9,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",3640232,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
10,"deja vu","Olivia Rodrigo",3579633,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
11,"I WANNA BE YOUR SLAVE",Måneskin,3523292,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
12,"Qué Más Pues?","J Balvin",3357643,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
13,traitor,"Olivia Rodrigo",3087412,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
14,happier,"Olivia Rodrigo",2968079,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
15,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2967967,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
16,"Astronaut In The Ocean","Masked Wolf",2681597,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
17,"drivers license","Olivia Rodrigo",2634188,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
18,"Leave The Door Open","Bruno Mars",2625345,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
19,"favorite crime","Olivia Rodrigo",2443518,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
20,"Pareja Del Año","Sebastian Yatra",2350648,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
21,RAPSTAR,"Polo G",2310772,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
22,"Build a Bitch","Bella Poarch",2300169,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
23,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,2259764,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
24,"Blinding Lights","The Weeknd",2231005,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
25,"ZITTI E BUONI",Måneskin,2080395,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
26,brutal,"Olivia Rodrigo",1915874,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
27,"Fiel - Remix",Wisin,1908932,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
28,AM,"Nio Garcia",1904450,https://open.spotify.com/track/2dNhNlpZAtV4lwAFW45LIv
29,"jealousy, jealousy","Olivia Rodrigo",1868387,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
