,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
30,Dynamite,BTS,1828118,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
31,DÁKITI,"Bad Bunny",1825020,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
32,"Watermelon Sugar","Harry Styles",1820235,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
33,Dinero,"Trinidad Cardona",1797258,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
34,"Heat Waves","Glass Animals",1762158,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
35,"Heartbreak Anniversary",Giveon,1714537,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
36,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1713671,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
37,2/Catorce,"Rauw Alejandro",1695210,https://open.spotify.com/track/71R8HJxQk5qMiRstrlXN9t
38,"The Business",Tiësto,1675063,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
39,Fiel,"Los Legendarios",1621070,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
40,telepatía,"Kali Uchis",1619572,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
41,"Wants and Needs (feat. Lil Baby)",Drake,1597698,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
42,Rasputin,Majestic,1591721,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
43,"Mood (feat. iann dior)",24kGoldn,1565138,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
44,"Your Love (9PM)",ATB,1542555,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
45,"Save Your Tears","The Weeknd",1522227,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
46,Miénteme,TINI,1490973,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
47,"EL MAKINON","KAROL G",1482745,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
48,"enough for you","Olivia Rodrigo",1446053,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
49,"Lost Cause","Billie Eilish",1428631,https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M
50,"Botella Tras Botella","Gera MX",1407857,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
51,BED,"Joel Corry",1366760,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
52,"Don't Start Now","Dua Lipa",1356738,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
53,Arcade,"Duncan Laurence",1353976,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
54,"Someone You Loved","Lewis Capaldi",1345441,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
55,"Goosebumps - Remix","Travis Scott",1340623,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
56,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,1336687,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
57,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,1325676,https://open.spotify.com/track/1QL7nSDZCwZMnbisV4KOXt
58,"Hold On","Justin Bieber",1312061,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
59,"Solar Power",Lorde,1308798,https://open.spotify.com/track/3KdoeNlEN0BoAKWzaRLNZa
60,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1294899,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
61,"Need to Know","Doja Cat",1294575,https://open.spotify.com/track/10hcDov7xmcRviA8jLwEaI
62,"Thot Shit","Megan Thee Stallion",1253622,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
63,Run,OneRepublic,1253493,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
64,Bandido,"Myke Towers",1245233,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
65,"Sweater Weather","The Neighbourhood",1238456,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
66,"1 step forward, 3 steps back","Olivia Rodrigo",1237327,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
67,Up,"Cardi B",1195760,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
68,"Head & Heart (feat. MNEK)","Joel Corry",1193021,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
69,Freaks,"Surf Curse",1185054,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
70,"Ramenez la coupe à la maison",Vegedream,1183123,https://open.spotify.com/track/1m0UFnuTktOkksvjbF9z0m
71,"WITHOUT YOU","The Kid LAROI",1170941,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
72,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne",1170260,https://open.spotify.com/track/6uvMKqNlrSvcC4NaKnrwjZ
73,"LA NOCHE DE ANOCHE","Bad Bunny",1148220,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
74,"Sal y Perrea",Sech,1125918,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
75,"Dance Monkey","Tones And I",1121463,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
76,"Talking to the Moon","Bruno Mars",1109555,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
77,512,Mora,1101277,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
78,positions,"Ariana Grande",1097044,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
79,Levitating,"Dua Lipa",1084748,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
80,"Ram Pam Pam","Natti Natasha",1079479,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
81,"We're Good","Dua Lipa",1074858,https://open.spotify.com/track/1diS6nkxMQc3wwC4G1j0bh
82,911,Sech,1074302,https://open.spotify.com/track/2p2Q23iaaPSEa1tI6TsCVX
83,Runaway,AURORA,1072308,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
84,"Best Friend (feat. Doja Cat)",Saweetie,1072126,https://open.spotify.com/track/20BOju91NaEFK5Py4VJ2pp
85,Streets,"Doja Cat",1068657,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
86,"Before You Go","Lewis Capaldi",1065494,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
87,Circles,"Post Malone",1059224,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
88,"Poblado - Remix","J Balvin",1046390,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
89,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1040840,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
90,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",1037596,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
91,"you broke me first","Tate McRae",1022671,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
92,Holiday,KSI,1017346,https://open.spotify.com/track/6nV2dFZXpv1JlqDWBeTXRl
93,"Roses - Imanbek Remix","SAINt JHN",1016009,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
94,"hope ur ok","Olivia Rodrigo",1012380,https://open.spotify.com/track/1zejeOnykpCoyVSit6Bwp3
95,"Iko Iko (My Bestie)","Justin Wellington",1006156,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
96,"Baila Conmigo (with Rauw Alejandro)","Selena Gomez",998909,https://open.spotify.com/track/079Ey5uxL04AKPQgVQwx5h
97,Alcohol-Free,TWICE,998185,https://open.spotify.com/track/3iPbmpKBMflYd7UjdYftoj
98,"lovely (with Khalid)","Billie Eilish",997773,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
99,"late at night","Roddy Ricch",987611,https://open.spotify.com/track/1fxYz1s15pyZLsJT0Hdh1m
100,34+35,"Ariana Grande",983370,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
101,Believer,"Imagine Dragons",981970,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
102,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",981104,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
103,"Cover Me In Sunshine",P!nk,973096,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
104,"Another Love","Tom Odell",968652,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
105,"Calling My Phone","Lil Tjay",968406,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
106,Heather,"Conan Gray",944565,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
107,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",942908,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
108,Poblado,Crissin,910392,https://open.spotify.com/track/7xT1n5JKpB0bMPh6FL589e
109,"Paradise (feat. Dermot Kennedy)",MEDUZA,909397,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
110,Señorita,"Shawn Mendes",907690,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
111,Loco,"Justin Quiles",898373,https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH
112,Memories,"Maroon 5",896462,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
113,"By Your Side (feat. Tom Grennan)","Calvin Harris",893013,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
114,"Having Our Way (feat. Drake)",Migos,890326,https://open.spotify.com/track/2NM0qHzx4Ohy8iXHEEgwlO
115,"Your Power","Billie Eilish",887352,https://open.spotify.com/track/5qNh5WtzMbfpSj2jLlBkoD
116,"Wasted Love (feat. Lagique)",Ofenbach,885665,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
117,"Hecha Pa' Mi",Boza,883014,https://open.spotify.com/track/3VvA1wSxukMLsvXoXtlwWx
118,"Tell Em",Cochise,882678,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
119,"Shape of You","Ed Sheeran",882541,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
120,"Take Me To Church",Hozier,869199,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
121,goosebumps,"Travis Scott",868975,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
122,"Dick (feat. Doja Cat)",StarBoi3,868615,https://open.spotify.com/track/3nY8AqaMNNHHLYV4380ol0
123,"Little Bit of Love","Tom Grennan",867282,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
124,"Good Days",SZA,862586,https://open.spotify.com/track/3YJJjQPAbDT7mGpX3WtQ9A
125,"WAP (feat. Megan Thee Stallion)","Cardi B",860054,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
126,Perfect,"Ed Sheeran",856357,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
127,Reloj,"Rauw Alejandro",853948,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
128,"Say You Won't Let Go","James Arthur",851822,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
129,Riptide,"Vance Joy",845491,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
130,Shallow,"Lady Gaga",840024,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
131,"Lucid Dreams","Juice WRLD",837729,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
132,"Eladio Carrion: Bzrp Music Sessions, Vol. 40",Bizarrap,837038,https://open.spotify.com/track/1VauUM5CBX7nkLcgafQL2B
133,"Adore You","Harry Styles",835435,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
134,malibu,sangiovanni,835001,https://open.spotify.com/track/01hEpx8jnOG4q7nDK14Rhi
135,"Follow You","Imagine Dragons",834212,https://open.spotify.com/track/7FdUvDkaE24o3FPIWTvzv2
136,"Daddy Issues","The Neighbourhood",833266,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
137,Bipolar,"Mc Davi",825577,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
138,"bad guy","Billie Eilish",824995,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
139,"The Nights",Avicii,818021,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
140,Aloha,Maluma,815299,https://open.spotify.com/track/5RAIMjdrCEjpjaR5tBATXU
141,"Counting Stars",OneRepublic,813260,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
142,"Martin & Gina","Polo G",808121,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
143,Yellow,Coldplay,804751,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
144,Hawái,Maluma,803202,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
145,"death bed (coffee for your head)",Powfu,803155,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
146,"Ball If I Want To",DaBaby,802965,https://open.spotify.com/track/0cu0rhnlCnJ7JIeHRiLpj3
147,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",801439,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
148,"Breaking Me",Topic,801102,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po
149,"Bohemian Rhapsody - Remastered 2011",Queen,796935,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
150,"What You Know Bout Love","Pop Smoke",795582,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
151,"Our Song",Anne-Marie,794792,https://open.spotify.com/track/5zqObw7wjBgL9TDiAymxPn
152,"p r i d e . i s . t h e . d e v i l (with Lil Baby)","J. Cole",793291,https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf
153,"Wake Me Up",Avicii,792199,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
154,"MILLE – feat. Orietta Berti",Fedez,790968,https://open.spotify.com/track/6qdMhG7pRFi0csRlFGvLE4
155,LUMBERJACK,"Tyler, The Creator",789641,https://open.spotify.com/track/64v1g2HcPumBz2Wd1rT56b
156,"Smells Like Teen Spirit",Nirvana,783094,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
157,Whoopty,CJ,782605,https://open.spotify.com/track/1t9WgS8FN0534tLBRwbaxO
158,"m y . l i f e (with 21 Savage & Morray)","J. Cole",776534,https://open.spotify.com/track/1D3z6HTiQsNmZxjl7F7eoG
159,"All of Me","John Legend",772216,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
160,working,"Tate McRae",767830,https://open.spotify.com/track/31sSFHIe4NaxltVFOEIcTa
161,"Prisoner (feat. Dua Lipa)","Miley Cyrus",766783,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
162,"Mr. Brightside","The Killers",764935,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
163,"Dreams - 2004 Remaster","Fleetwood Mac",764308,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
164,"One Dance",Drake,762024,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
165,"7 rings","Ariana Grande",760051,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
166,"UN DIA (ONE DAY) (Feat. Tainy)","J Balvin",753413,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e
167,"Jocelyn Flores",XXXTENTACION,746908,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
168,"Every Breath You Take","The Police",743966,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
169,"Petrouchka (feat. PLK)","Soso Maness",740970,https://open.spotify.com/track/03y045SZqaC94yfXl1cU4E
170,"The Real Slim Shady",Eminem,735471,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
171,Anyone,"Justin Bieber",734986,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
172,"The Box","Roddy Ricch",733285,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
173,"Ride It",Regard,733115,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
174,"my ex's best friend (with blackbear)","Machine Gun Kelly",732937,https://open.spotify.com/track/7kDUspsoYfLkWnZR7qwHZl
175,"Another One Bites The Dust - Remastered 2011",Queen,730511,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
176,"Life Goes On",BTS,729110,https://open.spotify.com/track/249gnXrbfmV8NG6jTEMSwD
177,"Just the Way You Are","Bruno Mars",727689,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
178,"Savage Love (Laxed - Siren Beat)","Jawsh 685",727124,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
179,"Volta Bebê, Volta Neném","Dj Guuga",725949,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
180,"Can't Hold Us (feat. Ray Dalton)","Macklemore & Ryan Lewis",725241,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
181,"Do I Wanna Know?","Arctic Monkeys",723813,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
182,"Kiss cam (podryw roku)",Mata,722476,https://open.spotify.com/track/5hfJcAXpOVb65HtYqgtoE4
183,"In the End","Linkin Park",721714,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
184,Closer,"The Chainsmokers",720854,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
185,"2:50 Remix",MYA,719691,https://open.spotify.com/track/74znaWw1hmQBusGPSOuTFy
186,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money",719331,https://open.spotify.com/track/2IePEfMAtqWS6rLXXFZIgI
187,"Break My Heart","Dua Lipa",718118,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT
188,"HIGHEST IN THE ROOM","Travis Scott",717529,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
189,"No Role Modelz","J. Cole",717192,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
190,"If the World Was Ending (feat. Julia Michaels)","JP Saxe",713578,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
191,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",712759,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
192,Dior,"Pop Smoke",710885,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
193,"Laugh Now Cry Later (feat. Lil Durk)",Drake,709676,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
194,Ella,Boza,709105,https://open.spotify.com/track/66S2z95FN3nUAr9S1gUIsp
195,"Rain On Me (with Ariana Grande)","Lady Gaga",705422,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
196,"The Hills","The Weeknd",705260,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
197,CORALINE,Måneskin,704421,https://open.spotify.com/track/7HMz8o0m7ASQ3ImFPfhWTY
198,"Solid (feat. Drake)","Young Stoner Life",703818,https://open.spotify.com/track/6rTInqW3YECMkQsBEHw4sd
199,"Ella No Es Tuya - Remix","Rochy RD",700298,https://open.spotify.com/track/5YYW3yRktprLRr47WK219Y
200,"Wellerman - Sea Shanty / 220 KID x Billen Ted Remix","Nathan Evans",698048,https://open.spotify.com/track/3iw6V4LH7yPj1ESORX9RIN
