,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
19,"Bad Habits","Ed Sheeran",2467747,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
20,"Feliz Navidad","José Feliciano",2399306,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
21,Woman,"Doja Cat",2359469,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
22,"Underneath the Tree","Kelly Clarkson",2311558,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
23,"My Universe",Coldplay,2280434,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
24,Mistletoe,"Justin Bieber",2207139,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
25,"good 4 u","Olivia Rodrigo",2196051,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
26,"Sleigh Ride","The Ronettes",2164442,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
27,"Merry Christmas","Ed Sheeran",2132337,https://open.spotify.com/track/0aoUM0zcu0kCX7Cv7O939I
28,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",2003424,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
29,"Driving Home for Christmas - 2019 Remaster","Chris Rea",2002670,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
30,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",1988259,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
31,Infinity,"Jaymes Young",1983611,https://open.spotify.com/track/1SOClUWhOi8vHZYMz3GluK
32,"Holly Jolly Christmas","Michael Bublé",1964517,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
33,"Kiss Me More (feat. SZA)","Doja Cat",1928830,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
34,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",1928653,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
35,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",1879031,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
36,"Need to Know","Doja Cat",1870892,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
37,"MONTERO (Call Me By Your Name)","Lil Nas X",1848792,https://open.spotify.com/track/1SC5rEoYDGUK4NfG82494W
38,"love nwantiti (ah ah ah)",CKay,1792742,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g
39,MONEY,LISA,1754075,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
40,Beggin',Måneskin,1749602,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
41,"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",1749045,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
42,Yonaguni,"Bad Bunny",1735003,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
43,"Happier Than Ever","Billie Eilish",1713131,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
44,"I Hate U",SZA,1697987,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
45,Toxic,BoyWithUke,1690956,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
46,Ghost,"Justin Bieber",1687065,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
47,"Step Into Christmas","Elton John",1674330,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
48,"Lo Siento BB:/ (with Bad Bunny & Julieta Venegas)",Tainy,1673746,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB
49,"Blinding Lights","The Weeknd",1655604,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
50,"THATS WHAT I WANT","Lil Nas X",1636926,https://open.spotify.com/track/0e8nrvls4Qqv5Rfa2UhqmO
51,"Do They Know It's Christmas? - 1984 Version","Band Aid",1623551,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
52,"Merry Christmas Everyone","Shakin' Stevens",1621024,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
53,"A Holly Jolly Christmas - Single Version","Burl Ives",1614685,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
54,"Where Are You Now","Lost Frequencies",1602303,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
55,"White Christmas","Bing Crosby",1590246,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
56,traitor,"Olivia Rodrigo",1587953,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
57,"One Right Now (with The Weeknd)","Post Malone",1570369,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
58,"The Christmas Song (Merry Christmas To You)","Nat King Cole",1569049,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
59,"I Love You So","The Walters",1541790,https://open.spotify.com/track/4SqWKzw0CbA05TGszDgMlc
60,"Sweater Weather","The Neighbourhood",1519023,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
61,"Levitating (feat. DaBaby)","Dua Lipa",1508495,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
62,"drivers license","Olivia Rodrigo",1494066,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
63,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,1486951,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
64,"Oh My God",Adele,1476253,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
65,"Mon Amour - Remix",zzoilo,1456927,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
66,"Smokin Out The Window","Bruno Mars",1451760,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
67,"Todo De Ti","Rauw Alejandro",1441112,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
68,"It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra)","Perry Como",1361581,https://open.spotify.com/track/2pXpURmn6zC5ZYDMms6fwa
69,Volví,Aventura,1322003,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
70,"I AM WOMAN","Emmy Meli",1304334,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
71,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1294487,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
72,Butter,BTS,1290146,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
73,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1264771,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
74,"Meet Me At Our Spot","THE ANXIETY",1258046,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
75,"Moth To A Flame (with The Weeknd)","Swedish House Mafia",1251455,https://open.spotify.com/track/2gpWyfu7eZ01zzncHpxOtA
76,"Life Goes On","Oliver Tree",1247910,https://open.spotify.com/track/0eu4C55hL6x29mmeAjytzC
77,DÁKITI,"Bad Bunny",1238300,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
78,"Girl Of My Dreams (with SUGA of BTS)","Juice WRLD",1234741,https://open.spotify.com/track/7DF8lvLdV3htIbuTWpc7lR
79,Nostálgico,Rvssian,1233931,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
80,"Christmas (Baby Please Come Home)","Darlene Love",1221446,https://open.spotify.com/track/47ohYW8e7dxCYn9qbUMBCI
81,"Super Gremlin","Kodak Black",1217869,https://open.spotify.com/track/4A8cWXxKfIL3lAyUDzXbCF
82,"Santa Claus Is Coming To Town","The Jackson 5",1216251,https://open.spotify.com/track/6a1hzBiTkgqTsDA0Xgfh9z
83,Medallo,Blessd,1212656,https://open.spotify.com/track/6lX6l7OuA3qrnIRfdsr0dw
84,"Broadway Girls (feat. Morgan Wallen)","Lil Durk",1190673,https://open.spotify.com/track/3DZ8dbKg4OTSSqGARvecYd
85,"The Motto",Tiësto,1175687,https://open.spotify.com/track/18asYwWugKjjsihZ0YvRxO
86,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1170937,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
87,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,1161771,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
88,"Pope Is a Rockstar",SALES,1150257,https://open.spotify.com/track/0So2sgVa8aJiARPl2P29u2
89,"Tacones Rojos","Sebastian Yatra",1142717,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2
90,"Run Rudolph Run - Single Version","Chuck Berry",1139362,https://open.spotify.com/track/2pnPe4pJtq7689i5ydzvJJ
91,"Wandered To LA (with Justin Bieber)","Juice WRLD",1138421,https://open.spotify.com/track/1cA4wEmLkKlttS6N89LbJh
92,"Christmas (Baby Please Come Home)","Mariah Carey",1132021,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
93,"deja vu","Olivia Rodrigo",1127533,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
94,"Watermelon Sugar","Harry Styles",1125956,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
95,"Save Your Tears","The Weeknd",1116071,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
96,"Dark Red","Steve Lacy",1106454,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
97,"Leave The Door Open","Bruno Mars",1103340,https://open.spotify.com/track/1LPSkqVhWVRUkKE03YUkpB
98,"You Right","Doja Cat",1101309,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
99,"DANCE CRIP",Trueno,1083281,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV
100,"My Only Wish (This Year)","Britney Spears",1076780,https://open.spotify.com/track/0YWUHZPJVg4iujddsJDwhM
101,"Someone You Loved","Lewis Capaldi",1076562,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
102,"LA FAMA (with The Weeknd)",ROSALÍA,1066335,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
103,"Fairytale of New York (feat. Kirsty MacColl)","The Pogues",1056022,https://open.spotify.com/track/3VTNVsTTu05dmTsVFrmGpK
104,Believer,"Imagine Dragons",1047078,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
105,"Blue Christmas","Elvis Presley",1042953,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
106,"Don't Start Now","Dua Lipa",1042680,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
107,Dynamite,BTS,1041599,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
108,"It'll Be Okay","Shawn Mendes",1039677,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
109,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,1035221,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
110,"You Make It Feel Like Christmas (feat. Blake Shelton)","Gwen Stefani",1035020,https://open.spotify.com/track/2OQ6a4CfUeYskpTTgyawyJ
111,"Knife Talk (with 21 Savage ft. Project Pat)",Drake,1033874,https://open.spotify.com/track/2BcMwX1MPV6ZHP4tUT9uq6
112,"Volando - Remix",Mora,1031101,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
113,"Salimo de Noche","Tiago PZK",1030894,https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
114,"Don't Be Shy",Tiësto,1025581,https://open.spotify.com/track/0bI7K9Becu2dtXK1Q3cZNB
115,"Thank God It's Christmas - Non-Album Single",Queen,1024529,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
116,Dandelions,"Ruth B.",1017351,https://open.spotify.com/track/2eAvDnpXP5W0cVtiI0PUxV
117,"Jingle Bell Rock - Daryl's Version","Daryl Hall & John Oates",1015623,https://open.spotify.com/track/6pVW5LRWgeLaHudxauOTJU
118,"lovely (with Khalid)","Billie Eilish",999764,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
119,Sobrio,Maluma,988967,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
120,Desesperados,"Rauw Alejandro",985714,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
121,ELEVEN,IVE,978149,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr
122,"Jingle Bells - Remastered 1999","Frank Sinatra",974086,https://open.spotify.com/track/4HEOgBHRCExyYVeTyrXsnL
123,"Mood (feat. iann dior)",24kGoldn,972799,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
124,"Have Yourself A Merry Little Christmas","Sam Smith",971623,https://open.spotify.com/track/1Qi2wh8fFgDV7tl4Sj3f2K
125,Cúrame,"Rauw Alejandro",968059,https://open.spotify.com/track/1FlL8ycld6uVDDyhV7P5FA
126,"Santa Claus Is Comin' to Town - Live at C.W. Post College, Greenvale, NY - December 1975","Bruce Springsteen",966001,https://open.spotify.com/track/6s2wpWPFPAgKg2LXxi1Oee
127,"Already Dead","Juice WRLD",956861,https://open.spotify.com/track/2quVkyLSVr5wX2QIhnexUt
128,"Rolling in the Deep",Adele,946552,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
129,"Get Into It (Yuh)","Doja Cat",940055,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
130,"Praise God","Kanye West",939691,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
131,happier,"Olivia Rodrigo",938282,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
132,Heather,"Conan Gray",935251,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
133,Freaks,"Surf Curse",924099,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
134,"The Feels",TWICE,923767,https://open.spotify.com/track/1qE8DOtw7zdXHMgZm20eLM
135,"Qué Más Pues?","J Balvin",922266,https://open.spotify.com/track/6D2TCm4nf5nxAcdGJ7w3QP
136,"Christmas Lights",Coldplay,917295,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
137,"I WANNA BE YOUR SLAVE",Måneskin,915908,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
138,"Baby, It's Cold Outside","Dean Martin",912461,https://open.spotify.com/track/4MrfQL4TYQXJBlZYpAHTuE
139,"Santa Baby","Kylie Minogue",911704,https://open.spotify.com/track/2SBr3MK1sdMs8IxdRcN6qz
140,"Way 2 Sexy (with Future & Young Thug)",Drake,909140,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
141,"Another Love","Tom Odell",906570,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
142,"Vai Lá Em Casa Hoje","George Henrique & Rodrigo",901477,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
143,2055,"Sleepy Hallow",894676,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
144,"One More Sleep","Leona Lewis",894127,https://open.spotify.com/track/78pn8k7RogKo2oxl0DyX6d
145,"Esqueça-Me Se For Capaz","Marília Mendonça",891194,https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC
146,positions,"Ariana Grande",886625,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
147,Burn,"Juice WRLD",886510,https://open.spotify.com/track/0QwKxajohg1rAMMmv1AWe1
148,"Before You Go","Lewis Capaldi",875028,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
149,"Ley Seca","Jhay Cortez",873414,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
150,"Santa Baby (with Henri René & His Orchestra)","Eartha Kitt",870374,https://open.spotify.com/track/1foCxQtxBweJtZmdxhEHVO
151,Perfect,"Ed Sheeran",869490,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
152,"AM Remix","Nio Garcia",869467,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
153,"Lucid Dreams","Juice WRLD",865670,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
154,"Without Me",Eminem,864346,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
155,Sky,"Playboi Carti",862650,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
156,Yellow,Coldplay,856889,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
157,Bar,TINI,854012,https://open.spotify.com/track/0lJE8f0lx8mUSfMyxeYpiC
158,"Astronaut In The Ocean","Masked Wolf",852569,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
159,"Daddy Issues","The Neighbourhood",849566,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
160,"The Business",Tiësto,848308,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
161,Circles,"Post Malone",847213,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
162,Bored,"Billie Eilish",846715,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
163,"White Christmas","Amy Grant",843806,https://open.spotify.com/track/370oYn3s5EKu7ziUpMQQTr
164,"Carol of the Bells","Mykola Dmytrovych Leontovych",841038,https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI
165,"No Lie","Sean Paul",840076,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
166,Enchanted,"Taylor Swift",831520,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
167,"Fair Trade (with Travis Scott)",Drake,831346,https://open.spotify.com/track/40iJIUlhi6renaREYGeIDS
168,Acapulco,"Jason Derulo",829932,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
169,"Santa Claus Is Coming to Town","Michael Bublé",828278,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
170,"Why'd You Only Call Me When You're High?","Arctic Monkeys",825136,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
171,"Take Me To Church",Hozier,824990,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
172,RAPSTAR,"Polo G",824832,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
173,"The Nights",Avicii,822461,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
174,"Dance Monkey","Tones And I",821383,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
175,"Shape of You","Ed Sheeran",821380,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
176,"you broke me first","Tate McRae",816641,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
177,"Santa, Can’t You Hear Me","Kelly Clarkson",811740,https://open.spotify.com/track/2O3MQ6H3gjrIWDcpeTrikT
178,"MIDDLE OF THE NIGHT","Elley Duhé",810291,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
179,"Heartbreak Anniversary",Giveon,810052,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
180,"Rudolph The Red-Nosed Reindeer","Dean Martin",805547,https://open.spotify.com/track/2L9QLAhrvtP4EYg1lY0Tnw
181,"Smells Like Teen Spirit - Remastered",Nirvana,804365,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
182,"family ties (with Kendrick Lamar)","Baby Keem",803682,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
183,"favorite crime","Olivia Rodrigo",800853,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
184,"Joy To The World","Nat King Cole",800706,https://open.spotify.com/track/1VuAamHM7P3VQQEXYGG3Uu
185,"The Real Slim Shady",Eminem,799765,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
186,"Counting Stars",OneRepublic,798975,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
187,Arcade,"Duncan Laurence",798581,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
188,"Please Come Home for Christmas - 2013 Remaster",Eagles,792041,https://open.spotify.com/track/3QIoEi8Enr9uHffwInGIsC
189,"Arranhão - Ao Vivo","Henrique & Juliano",790282,https://open.spotify.com/track/3IMLoeLerS7TMpKjxUgAhx
190,"Little Saint Nick - 1991 Remix","The Beach Boys",789955,https://open.spotify.com/track/5xlS0QkVrSH7ssEbBgBzbM
191,Presepada,"Marília Mendonça",789938,https://open.spotify.com/track/3YvE7uo4ffseBoJPh8IhHp
192,"No Role Modelz","J. Cole",788314,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
193,"Happier Than Ever - Edit","Billie Eilish",787302,https://open.spotify.com/track/32BeYxKPrig1LefHsC0Xuo
194,Shallow,"Lady Gaga",779489,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
195,"OUT OUT (feat. Charli XCX & Saweetie)","Joel Corry",774287,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
196,"What Christmas Means To Me","Stevie Wonder",773178,https://open.spotify.com/track/1V0qqWBbIWt8hlAjxTZedR
197,"Enemy - From the series Arcane League of Legends","Imagine Dragons",771671,https://open.spotify.com/track/5UlnuulVAVmmesw4VzqHdG
198,"Bohemian Rhapsody - Remastered 2011",Queen,770343,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
199,"I Saw Mommy Kissing Santa Claus","The Jackson 5",768979,https://open.spotify.com/track/3lkYS3iMpWMVpaJ0yJAFrJ
200,"Take My Breath","The Weeknd",768252,https://open.spotify.com/track/6M3PsepEj5gyJoIi7Xvr7u
