,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",4845717,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,abcdefu,GAYLE,4757134,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
3,"STAY (with Justin Bieber)","The Kid LAROI",4378307,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
4,"Last Christmas",Wham!,4180856,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
5,"Easy On Me",Adele,4174741,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
6,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",3735344,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
7,"Rockin' Around The Christmas Tree","Brenda Lee",3628387,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
8,"Heat Waves","Glass Animals",3601660,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
9,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",3595481,https://open.spotify.com/track/1r9xUipOqoNwggBpENDsvJ
10,"Cold Heart - PNAU Remix","Elton John",3425065,https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39
11,"Jingle Bell Rock","Bobby Helms",3396816,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
12,"It's Beginning to Look a Lot like Christmas","Michael Bublé",3199482,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
13,"Santa Tell Me","Ariana Grande",3085215,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
14,"It's the Most Wonderful Time of the Year","Andy Williams",2863841,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
15,Shivers,"Ed Sheeran",2821378,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
16,Snowman,Sia,2668851,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
17,Pepas,Farruko,2590678,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni
18,"Do It To It",ACRAZE,2560856,https://open.spotify.com/track/20on25jryn53hWghthWWW3
