Position,Track_Name,Artist,Streams,URL
57,LA NOCHE DE ANOCHE,Bad Bunny,170924,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
58,My Universe,Coldplay,170895,https://open.spotify.com/track/46HNZY1i7O6jwTA7Slo2PI
59,Do It To It,ACRAZE,170810,https://open.spotify.com/track/20on25jryn53hWghthWWW3
60,Por Mi MÈxico,Lefty Sm,170745,https://open.spotify.com/track/2sUknbm8xdLQgH7wb8xcTX
61,Diles,Bad Bunny,170296,https://open.spotify.com/track/6C1RD7YQVvt3YQj0CmuTeu
62,Sacrifice,The Weeknd,169523,https://open.spotify.com/track/1nH2PkJL1XoUq8oE6tBZoU
63,Vete,Bad Bunny,169309,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
64,abcdefu,GAYLE,169019,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL
65,Jugaste y Sufre,Eslabon Armado,167122,https://open.spotify.com/track/3NqBxTOMCJ3zW9CIP51td4
66,No Me Conoce - Remix,Jhay Cortez,166796,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
67,Tranquilito,Gerardo Ortiz,163702,https://open.spotify.com/track/2LJRoFOtMGLnSxJqlJuhge
68,Burbujas de Cristal,Cartel De Santa,163661,https://open.spotify.com/track/15yuvKhcoEtV5KwKxqHSwa
69,TE MUDASTE,Bad Bunny,162553,https://open.spotify.com/track/5RubKOuDoPn5Kj5TLVxSxY
70,Me Rehuso,Danny Ocean,161476,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
71,El B√©lico,El Fantasma,161429,https://open.spotify.com/track/50pkO56KXHoH53sVPRSbZ3
72,Una Vez,Bad Bunny,157533,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
73,Entre Nosotros,Tiago PZK,157228,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
74,Mucho para Mi,Santa RM,155635,https://open.spotify.com/track/29FljZjbNMcXlHAf2lKHbR
75,Haw·i,Maluma,155172,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
76,DANCE CRIP,Trueno,154967,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV
77,No se habla de Bruno,Carolina Gait√°n - La Gaita,154519,https://open.spotify.com/track/5QKk5N5xJQGsWMhPM80Kfv
78,T√≠rame Un Hello,Ramon Vega,153864,https://open.spotify.com/track/29gcdJL6O6K11Z4eV8Qhk6
79,Brillas,Le√≥n Larregui,152579,https://open.spotify.com/track/6VuUMo1TusnqBxLTnr3hOI
80,Amnesia,La Santa Grifa,150875,https://open.spotify.com/track/3T0DeQvOtdqd7Yo3t2Ig3N
81,Curame,Rauw Alejandro,150272,https://open.spotify.com/track/1FlL8ycld6uVDDyhV7P5FA
82,AsÌ Soy,Santa Fe Klan,150210,https://open.spotify.com/track/5Wvw29RKTFSK0IuCd2qs4m
83,Un Millon De Primaveras,Vicente Fern·ndez,150022,https://open.spotify.com/track/6j5LtifAnuTjTYvml61yFZ
84,Brindo,Mario Bautista,149939,https://open.spotify.com/track/1oLp4xkeNCxjMy4glz0vbL
85,Complicado,Gera MX,149176,https://open.spotify.com/track/5LxtXRqA2i3LBWdJiqE91O
86,Amor Fugaz,Los Del Limit,149051,https://open.spotify.com/track/4O2bxKTnK9En7OPw8kGDDF
87,Problem√°tico,Gera MX,146289,https://open.spotify.com/track/3D3ek5Ts78bkWEopL6zIjv
