,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"STAY (with Justin Bieber)","The Kid LAROI",7595743,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
2,Beggin',Måneskin,6119599,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
3,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",5347974,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
4,"Bad Habits","Ed Sheeran",5245732,https://open.spotify.com/track/6PQ88X9TkUIAUIZJHW2upE
5,"good 4 u","Olivia Rodrigo",5151903,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
6,"Happier Than Ever","Billie Eilish",4836720,https://open.spotify.com/track/4RVwu0g32PAqgUiJoXsdF8
7,"MONTERO (Call Me By Your Name)","Lil Nas X",3898952,https://open.spotify.com/track/67BtfxlNbhBmCDR2L2l8qd
8,"Kiss Me More (feat. SZA)","Doja Cat",3808033,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
9,"Todo De Ti","Rauw Alejandro",3435272,https://open.spotify.com/track/5RwV8BvLfX5injfqYodke9
10,"I WANNA BE YOUR SLAVE",Måneskin,3243752,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
11,Yonaguni,"Bad Bunny",3215739,https://open.spotify.com/track/2JPLbjOn0wPCngEot2STUS
12,"Levitating (feat. DaBaby)","Dua Lipa",2922513,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
13,"Qué Más Pues?","J Balvin",2907043,https://open.spotify.com/track/6hf0RpxTbOprT5nnwzkk8e
14,traitor,"Olivia Rodrigo",2822609,https://open.spotify.com/track/5CZ40GBx1sQ9agT82CLQCT
15,"Need to Know","Doja Cat",2812151,https://open.spotify.com/track/3Vi5XqYrmQgOYBajMWSvCi
16,Pepas,Farruko,2727757,https://open.spotify.com/track/5fwSHlTEWpluwOM0Sxnh5k
17,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",2676605,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
18,"Permission to Dance",BTS,2661415,https://open.spotify.com/track/5eXBXreN3d1zdj6Sa8dS0u
19,Butter,BTS,2563753,https://open.spotify.com/track/2bgTY4UwhfBYhGT4HUYStN
20,"deja vu","Olivia Rodrigo",2407943,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
21,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",2376468,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
22,"AM Remix","Nio Garcia",2247963,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
23,"Volando - Remix",Mora,2223411,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
24,"Ain't Shit","Doja Cat",2175218,https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm
25,"drivers license","Olivia Rodrigo",2160745,https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH
26,"Leave The Door Open","Bruno Mars",2158231,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
27,"Heat Waves","Glass Animals",2084081,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
28,"Blinding Lights","The Weeknd",2024516,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
29,happier,"Olivia Rodrigo",1977570,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
30,NDA,"Billie Eilish",1976109,https://open.spotify.com/track/38GBNKZUhfBkk3oNlWzRYd
31,"Astronaut In The Ocean","Masked Wolf",1821474,https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl
32,Skate,"Bruno Mars",1799302,https://open.spotify.com/track/2sXf2JdbB2GlNju00kw9WE
33,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,1782934,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
34,"Don't Go Yet","Camila Cabello",1760971,https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad
35,Oxytocin,"Billie Eilish",1741550,https://open.spotify.com/track/4t2OeILB07eMGTXSUbMPEu
36,"Entre Nosotros","Tiago PZK",1736532,https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb
37,"favorite crime","Olivia Rodrigo",1707144,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
38,"911 - Remix",Sech,1687126,https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A
39,"Getting Older","Billie Eilish",1668631,https://open.spotify.com/track/4HOryCnbme0zBnF8LWij3f
40,"Pareja Del Año","Sebastian Yatra",1656259,https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM
41,"Billie Bossa Nova","Billie Eilish",1613309,https://open.spotify.com/track/2KnuaZYoGzDoHiBTNYOTXG
42,"Watermelon Sugar","Harry Styles",1596563,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
43,"jealousy, jealousy","Olivia Rodrigo",1578979,https://open.spotify.com/track/0MMyJUC3WNnFS1lit5pTjk
44,RAPSTAR,"Polo G",1573737,https://open.spotify.com/track/18vXApRmJSgQ6wG2ll9AOg
45,"Lost Cause","Billie Eilish",1569918,https://open.spotify.com/track/4191RXFPa7Ge9XkA4cWlna
46,Miénteme,TINI,1550480,https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc
47,"Motley Crew","Post Malone",1546263,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
48,"I Didn't Change My Number","Billie Eilish",1521487,https://open.spotify.com/track/7bcy34fBT2ap1L4bfPsl9q
49,DÁKITI,"Bad Bunny",1507097,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
50,Woman,"Doja Cat",1499334,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
51,Dynamite,BTS,1469911,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
52,2055,"Sleepy Hallow",1446403,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
53,"Poblado - Remix","J Balvin",1436325,https://open.spotify.com/track/1WedZeiezCmCEOzLwhx0hV
54,"Tiroteo - Remix","Marc Seguí",1418543,https://open.spotify.com/track/4OwhwvKESFtuu06dTgct7i
55,"You Right","Doja Cat",1392651,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
56,"Mood (feat. iann dior)",24kGoldn,1384024,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
57,Sobrio,Maluma,1374117,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
58,"The Business",Tiësto,1347909,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
59,"Heartbreak Anthem (with David Guetta & Little Mix)",Galantis,1338092,https://open.spotify.com/track/5K6Ssv4Z3zRvxt0P6EKUAP
60,Freaks,"Surf Curse",1334970,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
61,"my future","Billie Eilish",1315835,https://open.spotify.com/track/3YUMWmx8EJq0DurfuIwoGh
62,"Love Tonight - Edit",Shouse,1308156,https://open.spotify.com/track/6OufwUcCqo81guU2jAlDVP
63,"Your Power","Billie Eilish",1307901,https://open.spotify.com/track/042Sl6Mn83JHyLEqdK7uI0
64,"Leave Before You Love Me (with Jonas Brothers)",Marshmello,1306504,https://open.spotify.com/track/4qu63nuBpdn0qHUHuObEj1
65,París,Ingratax,1303697,https://open.spotify.com/track/4bF2y8rR7GUjrd5LNEvej3
66,"Therefore I Am","Billie Eilish",1281725,https://open.spotify.com/track/20R4HfKloPKgXDqU7UKk3x
67,"Halley's Comet","Billie Eilish",1277215,https://open.spotify.com/track/5XsAal7ZcWg1I5T4NcRjkv
68,"NOT SOBER (feat. Polo G & Stunna Gambino)","The Kid LAROI",1265297,https://open.spotify.com/track/1JXBNvlDEl2epKSJ9EOgKX
