,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
69,Run,OneRepublic,1231804,https://open.spotify.com/track/2UbVnbE5FH6008mAm6Mmgw
70,"Fiel - Remix",Wisin,1228010,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
71,Rasputin,Majestic,1218729,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
72,Loco,"Justin Quiles",1216522,https://open.spotify.com/track/6PDlkWmrq2ZKiUuFt2aQsH
73,"Heartbreak Anniversary",Giveon,1213002,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
74,"Someone You Loved","Lewis Capaldi",1205965,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
75,"Sweater Weather","The Neighbourhood",1205490,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
76,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",1203837,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
77,"Save Your Tears","The Weeknd",1203636,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
78,"Don't Start Now","Dua Lipa",1196759,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
79,"Build a Bitch","Bella Poarch",1194262,https://open.spotify.com/track/7BoobGhD4x5K96Me0hqC8Q
80,GOLDWING,"Billie Eilish",1185248,https://open.spotify.com/track/0FfqyjhB6Kspvit1oOo7ax
81,"Your Love (9PM)",ATB,1184798,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
82,brutal,"Olivia Rodrigo",1177775,https://open.spotify.com/track/6SRsiMl7w1USE4mFqrOhHC
83,"Male Fantasy","Billie Eilish",1174853,https://open.spotify.com/track/4ak9GGe6afmi2HbxEjvhIC
84,"Nicky Jam: Bzrp Music Sessions, Vol. 41",Bizarrap,1162679,https://open.spotify.com/track/03LfOYi0icz4souspZVVhq
85,2/Catorce,"Rauw Alejandro",1142502,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
86,"Thot Shit","Megan Thee Stallion",1138029,https://open.spotify.com/track/5zNW5ARjYhJQJz1AChP33n
87,Dinero,"Trinidad Cardona",1072253,https://open.spotify.com/track/3ggtU1ZOKO8ZNiqPNyXGcm
88,telepatía,"Kali Uchis",1058606,https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
89,Levitating,"Dua Lipa",1052051,https://open.spotify.com/track/39LLxExYz6ewLAcYrzQQyP
90,"Love Again","Dua Lipa",1052029,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
91,YaMeFui,Bizarrap,1051930,https://open.spotify.com/track/42ahuAFlYGjIGBpVdHcLij
92,"double take",dhruv,1050424,https://open.spotify.com/track/2CVChktEKBsM6v4IfdFU5k
93,"In Da Getto","J Balvin",1048928,https://open.spotify.com/track/63aj87TQG6F3RVO5nbG2VQ
94,Arcade,"Duncan Laurence",1046614,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
95,"Meu Pedaço de Pecado","João Gomes",1038023,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
96,"WITHOUT YOU","The Kid LAROI",1034028,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
97,"EL MAKINON","KAROL G",1020658,https://open.spotify.com/track/2FSGUA0gFgGeQdprjtGM2M
98,"Dance Monkey","Tones And I",1020389,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
99,"Wants and Needs (feat. Lil Baby)",Drake,1017059,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
100,"Goosebumps - Remix","Travis Scott",1015564,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
101,"Over The Top (feat. Drake)",Smiley,1013259,https://open.spotify.com/track/3yaYgjEFkRw3PVjW9mV1TO
102,"ZITTI E BUONI",Måneskin,1006585,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
103,OverHeated,"Billie Eilish",1002020,https://open.spotify.com/track/5uSG6fUPRaehaV820zcpsK
104,positions,"Ariana Grande",999637,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
105,"lovely (with Khalid)","Billie Eilish",998668,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
106,"Botella Tras Botella","Gera MX",995536,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
107,Fulanito,"Becky G",991424,https://open.spotify.com/track/59L8x0xy8njj75vzVCPMqg
108,Circles,"Post Malone",991297,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
109,BED,"Joel Corry",987938,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
110,Fiel,"Los Legendarios",985689,https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
111,"Before You Go","Lewis Capaldi",982330,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
112,"Head & Heart (feat. MNEK)","Joel Corry",980215,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
113,"Bezos I","Bo Burnham",979364,https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW
114,"Iko Iko (My Bestie)","Justin Wellington",974728,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
115,"Talking to the Moon","Bruno Mars",948066,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
116,"Everybody Dies","Billie Eilish",945834,https://open.spotify.com/track/5jhBwnqzNNrENXnYrAdoCe
117,Believer,"Imagine Dragons",928382,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
118,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",919476,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
119,Streets,"Doja Cat",907977,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
120,512,Mora,907227,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
121,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",904283,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
122,Heather,"Conan Gray",902970,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
123,"Not My Responsibility","Billie Eilish",897209,https://open.spotify.com/track/4T2zre0jqstNJ5Gt0WG9lz
124,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,895559,https://open.spotify.com/track/7COGuXyTr12KvdaYXMqheC
125,"Shape of You","Ed Sheeran",895318,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
126,"you broke me first","Tate McRae",894409,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
127,Perfect,"Ed Sheeran",893568,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
128,"Hold On","Justin Bieber",893012,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
129,"Roses - Imanbek Remix","SAINt JHN",883966,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
130,Cúrame,"Rauw Alejandro",883525,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
131,"Here's Your Perfect","Jamie Miller",876416,https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P
132,Reckless,"Madison Beer",869488,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
133,Señorita,"Shawn Mendes",865133,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
134,"Daddy Issues","The Neighbourhood",852268,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
135,Riptide,"Vance Joy",850608,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
136,"The Nights",Avicii,848839,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
137,"Smells Like Teen Spirit",Nirvana,848300,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
138,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,841310,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
139,"Ram Pam Pam","Natti Natasha",834632,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
140,"Sal y Perrea",Sech,831391,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
141,Memories,"Maroon 5",827890,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
142,"Take Me To Church",Hozier,822060,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
143,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",821811,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
144,"LA NOCHE DE ANOCHE","Bad Bunny",821035,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
145,"Another Love","Tom Odell",817063,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
146,"enough for you","Olivia Rodrigo",815634,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
147,"bad guy","Billie Eilish",807963,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
148,goosebumps,"Travis Scott",807529,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
149,Pain,PinkPantheress,805669,https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO
150,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,803986,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV
151,"Como Si No Importara",Emilia,799391,https://open.spotify.com/track/1GYJpuLq41vEVKXiHGEY9j
152,"ALMAS GEMELAS","Myke Towers",799297,https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
153,Yellow,Coldplay,799115,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
154,"Blaues Licht","RAF Camora",798977,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
155,"Little Bit of Love","Tom Grennan",796893,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
156,"Counting Stars",OneRepublic,792710,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
157,"Say You Won't Let Go","James Arthur",780635,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
158,Shallow,"Lady Gaga",779976,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
159,"Bohemian Rhapsody - Remastered 2011",Queen,776362,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
160,"2:50 Remix",MYA,770730,https://open.spotify.com/track/74znaWw1hmQBusGPSOuTFy
161,"Paradise (feat. Dermot Kennedy)",MEDUZA,769741,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
162,"Lucid Dreams","Juice WRLD",767562,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
163,Hawái,Maluma,765718,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
164,"Wake Me Up",Avicii,764387,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
165,"Tell Em",Cochise,763492,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
166,"Se Me Olvidó","Gera MX",760972,https://open.spotify.com/track/7xLYLM5K6S1TwiSdfuhZQg
167,"Chosen (feat. Ty Dolla $ign)",Blxst,760424,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
168,"Auf & Ab",Montez,759397,https://open.spotify.com/track/0RSZ8EmUPEN3ySfCgytPke
169,Runaway,AURORA,756493,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
170,"Calling My Phone","Lil Tjay",754061,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
171,34+35,"Ariana Grande",753849,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
172,MORENA,"Luan Santana",750164,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
173,"Fancy Like","Walker Hayes",749377,https://open.spotify.com/track/3ZozFqJJlDBNIm4xqxn2ZD
174,"What You Know Bout Love","Pop Smoke",747451,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
175,Dior,"Pop Smoke",746476,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
176,"Wasted Love (feat. Lagique)",Ofenbach,743626,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
177,"death bed (coffee for your head)",Powfu,739594,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
178,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",737317,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
179,"Mr. Brightside","The Killers",733106,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
180,"Martin & Gina","Polo G",729166,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
181,"All of Me","John Legend",727046,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
182,"Adore You","Harry Styles",726894,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
183,"Jocelyn Flores",XXXTENTACION,726437,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
184,"1 step forward, 3 steps back","Olivia Rodrigo",726178,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
185,"Dreams - 2004 Remaster","Fleetwood Mac",725574,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
186,"Ball If I Want To",DaBaby,722853,https://open.spotify.com/track/0cu0rhnlCnJ7JIeHRiLpj3
187,"Never Going Home",Kungs,721007,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
188,Remember,"Becky Hill",717834,https://open.spotify.com/track/4laAKIq9ZxBCwf99rauPYb
189,"WAP (feat. Megan Thee Stallion)","Cardi B",715454,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
190,Bandido,"Myke Towers",715221,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
191,"The Real Slim Shady",Eminem,715071,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
192,Up,"Cardi B",711536,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
193,"Cover Me In Sunshine",P!nk,708922,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
194,"Every Breath You Take","The Police",708019,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
195,"As the World Caves In","Sarah Cothran",704974,https://open.spotify.com/track/2xXNLutYAOELYVObYb1C1S
196,"7 rings","Ariana Grande",704002,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
197,"Another One Bites The Dust - Remastered 2011",Queen,702802,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
198,"One Dance",Drake,701691,https://open.spotify.com/track/1zi7xx7UVEFkmKfv06H8x0
199,"By Your Side (feat. Tom Grennan)","Calvin Harris",700659,https://open.spotify.com/track/0vR2rIVORmgeKiGIgNT0fV
200,"The Hills","The Weeknd",698047,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
