,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
54,"The Motion",Drake,1387912,https://open.spotify.com/track/3t8pnImpBpOwxdtYBpKvA9
55,Happier,Marshmello,1366949,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
56,"Trust Issues",Drake,1352235,https://open.spotify.com/track/4Wjhj0WjkyECccfHVIgaTq
57,"SOS (feat. Aloe Blacc)",Avicii,1350039,https://open.spotify.com/track/2x0RZdkZcD8QRI53XT4GI5
58,"Verte Ir","DJ Luian",1310911,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
59,"Rescue Me",OneRepublic,1310026,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM
60,"The Archer","Taylor Swift",1307403,https://open.spotify.com/track/3Y7MHz19qCg1Pkxridtu1k
61,Wow.,"Post Malone",1269720,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP
62,Suge,DaBaby,1218908,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB
63,"Pa Mí - Remix",Dalex,1218625,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
64,"Tal Vez","Paulo Londra",1212685,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
65,"Old Town Road","Lil Nas X",1211621,https://open.spotify.com/track/0F7FA14euOIX8KcbEturGH
66,"Don't Call Me Up",Mabel,1208439,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
67,"Dancing With A Stranger (with Normani)","Sam Smith",1182572,https://open.spotify.com/track/6Qs4SXO9dwPj5GKvVOv8Ki
68,I.F.L.Y.,Bazzi,1172063,https://open.spotify.com/track/4R9ATNRRl1uth17i5qDCc0
69,"lovely (with Khalid)","Billie Eilish",1167858,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
70,"The Git Up","Blanco Brown",1166769,https://open.spotify.com/track/5dW1VZPcFqB4n0P08rGDgm
71,"Good As Hell",Lizzo,1163277,https://open.spotify.com/track/6uAm7pG66O1XesXS9bpHSF
72,"when the party's over","Billie Eilish",1162578,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
73,Runaway,"Sebastian Yatra",1149049,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ
74,"Bohemian Rhapsody - Remastered 2011",Queen,1133632,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
75,"Mad Love",Mabel,1133146,https://open.spotify.com/track/0Zp10WiPeEi6EUJZvWcNT9
76,"All Around The World (La La La)",R3HAB,1118774,https://open.spotify.com/track/02itaCXOdC54J0ISjqqFAp
77,"Without Me",Halsey,1118643,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
78,"thank u, next","Ariana Grande",1118520,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ
79,"Hate Me (with Juice WRLD)","Ellie Goulding",1101736,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
80,"3 Nights","Dominic Fike",1101663,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u
81,"Sweet but Psycho","Ava Max",1091680,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
82,Cuaderno,Dalex,1090308,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
83,Bellacoso,Residente,1068435,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S
84,"ME! (feat. Brendon Urie of Panic! At The Disco)","Taylor Swift",1063304,https://open.spotify.com/track/4MsUsFfWseB9M2plGJyuIw
85,"Pop Out (feat. Lil Tjay)","Polo G",1061538,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1
86,"rockstar (feat. 21 Savage)","Post Malone",1050074,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
87,"Go Loko (feat. Tyga, Jon Z)",YG,1046863,https://open.spotify.com/track/1kK6DwzyXJSp58u5HYWwuD
88,"Shape of You","Ed Sheeran",1041687,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
89,"bury a friend","Billie Eilish",1038426,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF
90,"Eastside (with Halsey & Khalid)","benny blanco",1038390,https://open.spotify.com/track/7FGq80cy8juXBCD2nrqdWU
91,Ritual,Tiësto,1035329,https://open.spotify.com/track/3M9Apu4OZfylLTFKvgEtKa
92,"Time - Edit",NF,1030851,https://open.spotify.com/track/1gZFRYcPz3wKevEaNYRwfW
93,HP,Maluma,1028799,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
94,"Days in The East",Drake,1018690,https://open.spotify.com/track/4czcw3NVLY0of5hTD7OufN
95,"Post Malone (feat. RANI)","Sam Feldt",1013794,https://open.spotify.com/track/0qc4QlcCxVTGyShurEv1UU
96,"5 Am in Toronto",Drake,1008447,https://open.spotify.com/track/0FnxK9FEAQyPJ284QcieNb
97,"Club Paradise",Drake,1005693,https://open.spotify.com/track/6MR5IBSNfDmiwnrlQpVw4w
98,"4pm in Calabasas",Drake,1003396,https://open.spotify.com/track/6C9SwoZ5OrxcvkntgA5t8s
99,"High Hopes","Panic! At The Disco",996126,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
100,Believer,"Imagine Dragons",990241,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
101,"Si Supieras","Daddy Yankee",989111,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
102,Easier,"5 Seconds of Summer",980426,https://open.spotify.com/track/4tNXntkAzQ5A2dfYRYGIIQ
103,"Better Now","Post Malone",974500,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
104,"i'm so tired...",Lauv,959973,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI
105,Instagram,"Dimitri Vegas & Like Mike",957528,https://open.spotify.com/track/0U6bQIAh6MCGo1xjbIIx2S
106,"Boy With Luv (feat. Halsey)",BTS,951191,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
107,"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5",944049,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
108,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",938999,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
109,"Rebota - Remix",Guaynaa,934852,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11
110,"Don't Check On Me (feat. Justin Bieber & Ink)","Chris Brown",929155,https://open.spotify.com/track/7ILEWkpfdK6AjH2D7jppWk
111,"Remember The Name (feat. Eminem & 50 Cent)","Ed Sheeran",928278,https://open.spotify.com/track/0AtP8EkGPn6SwxKDaUuXec
112,"Draft Day",Drake,927811,https://open.spotify.com/track/3W3FVHEDetkiRkkGKDmdir
113,"break up with your girlfriend, i'm bored","Ariana Grande",924767,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS
114,"i love you","Billie Eilish",922375,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc
115,"Shotta Flow (Feat. Blueface) [Remix]","NLE Choppa",922017,https://open.spotify.com/track/67XyC1GdSkKb9sbRRkUDXS
