,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"TO THE MOON","Jnr Choi",1317797,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
56,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1310733,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
57,"Watermelon Sugar","Harry Styles",1306676,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
58,Volví,Aventura,1290877,https://open.spotify.com/track/2vmfvSoZBFAt9hhRoEByLi
59,"MIDDLE OF THE NIGHT","Elley Duhé",1286678,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
60,Excuses,"AP Dhillon",1282816,https://open.spotify.com/track/29m79w9xPMH4YCD6r8JSmV
61,MONEY,LISA,1279583,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
62,"Todo De Ti","Rauw Alejandro",1239612,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
63,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,1204690,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
64,"The Family Madrigal","Stephanie Beatriz",1204678,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
65,"I Hate U",SZA,1199775,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
66,"Dark Red","Steve Lacy",1187640,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
67,"Save Your Tears","The Weeknd",1182924,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
68,"It'll Be Okay","Shawn Mendes",1174377,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
69,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1151273,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
70,"Without Me",Eminem,1149344,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
71,Formula,Labrinth,1144380,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
72,"All For Us - from the HBO Original Series Euphoria",Labrinth,1132465,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
