Position,Fecha,Track_Name,Artist,Sexo,Streams,URL
105,20/01/2022,Dos Oruguitas,Sebastian Yatra,1,979197,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
106,20/01/2022,Mood (feat. iann dior),24kGoldn,1,946907,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
107,20/01/2022,Every Summertime,NIKI,2,946489,https://open.spotify.com/track/68HocO7fx9z0MgDU0ZPHro
108,20/01/2022,The Real Slim Shady,Eminem,1,937288,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
109,20/01/2022,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,932472,https://open.spotify.com/track/5Ts1DYOuouQLgzTaisxWYh
110,20/01/2022,Heather,Conan Gray,1,925096,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
111,20/01/2022,Yellow,Coldplay,1,924005,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
112,20/01/2022,Acapulco,Jason Derulo,1,922527,https://open.spotify.com/track/3eJH2nAjvNXdmPfBkALiPZ
113,20/01/2022,Locked out of Heaven,Bruno Mars,1,908254,https://open.spotify.com/track/5g7sDjBhZ4I3gcFIpkrLuI
114,20/01/2022,Rolling in the Deep,Adele,2,905187,https://open.spotify.com/track/6IAZHEBUIGJ6NJKxxOBIEr
115,20/01/2022,Salimo de Noche,Tiago PZK,1,903147,https://open.spotify.com/track/6P096SaOzrgGxs8NWOfX7M
116,19/01/2022,Take My Breath,The Weeknd,1,895466,https://open.spotify.com/track/2vgUijXOTRMnWXDtvgMp2b
117,19/01/2022,LA FAMA (with The Weeknd),ROSALIA,2,892363,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK
118,20/01/2022,Thunder,Gabry Ponte,2,887809,https://open.spotify.com/track/2USlegnFJLrVLpoVfPimKB
119,20/01/2022,Perfect,Ed Sheeran,1,884363,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
120,20/01/2022,Formula,Labrinth,1,881083,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
121,20/01/2022,Before You Go,Lewis Capaldi,1,878170,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
122,20/01/2022,happier,Olivia Rodrigo,2,871355,https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl
123,20/01/2022,Sky,Playboi Carti,1,868884,https://open.spotify.com/track/29TPjc8wxfz4XMn21O7VsZ
124,20/01/2022,Counting Stars,OneRepublic,1,868805,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
125,20/01/2022,Vai Lá Em Casa Hoje,George Henrique & Rodrigo,1,867280,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
126,20/01/2022,505,Arctic Monkeys,1,863332,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
127,20/01/2022,Sobrio,Maluma,1,859496,https://open.spotify.com/track/4HzqWEdAbzcVFDv0pvxV4w
128,20/01/2022,The Business,Tiësto,1,857487,https://open.spotify.com/track/6f3Slt0GbA2bPZlz0aIFXN
129,20/01/2022,No Lie,Sean Paul,1,857092,https://open.spotify.com/track/48QmG1dfvMuYLxMPt7KSRA
130,20/01/2022,positions,Ariana Grande,2,855422,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
131,20/01/2022,The Nights,Avicii,1,854111,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
132,20/01/2022,Get Into It (Yuh),Doja Cat,2,852271,https://open.spotify.com/track/0W6I02J9xcqK8MtSeosEXb
133,20/01/2022,Talking to the Moon,Bruno Mars,1,851148,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
134,20/01/2022,Pandora,DJ Matt D,1,846607,https://open.spotify.com/track/0yL7K9MzC20uBesZTPY81r
135,20/01/2022,ELEVEN,IVE,1,846268,https://open.spotify.com/track/7n2FZQsaLb7ZRfRPfEeIvr
136,20/01/2022,'Till I Collapse,Eminem,1,841284,https://open.spotify.com/track/4xkOaSrkexMciUUogZKVTS
137,20/01/2022,Down Under (feat. Colin Hay),Luude,1,840176,https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2
138,20/01/2022,Smells Like Teen Spirit - Remastered,Nirvana,1,839758,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
139,20/01/2022,Circles,Post Malone,1,837956,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
140,20/01/2022,Praise God,Kanye West,1,836415,https://open.spotify.com/track/0WSEq9Ko4kFPt8yo3ICd6T
141,20/01/2022,Shape of You,Ed Sheeran,1,836194,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
142,20/01/2022,Way 2 Sexy (with Future & Young Thug),Drake,1,835725,https://open.spotify.com/track/0k1WUmIRnG3xU6fvvDVfRG
143,20/01/2022,you broke me first,Tate McRae,1,835545,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
144,20/01/2022,Dance Monkey,Tones And I,1,833262,https://open.spotify.com/track/2N8m6CYs74qQO4mjVcXO30
145,20/01/2022,I WANNA BE YOUR SLAVE,Måneskin,1,830475,https://open.spotify.com/track/4pt5fDVTg5GhEvEtlz9dKk
146,20/01/2022,Take Me To Church,Hozier,1,830109,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
147,20/01/2022,Ley Seca,Jhay Cortez,1,828956,https://open.spotify.com/track/3JCaq3KDSROg3TXhdiDa9n
148,20/01/2022,favorite crime,Olivia Rodrigo,2,828376,https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8
149,20/01/2022,Why'd You Only Call Me When You're High?,Arctic Monkeys,1,826475,https://open.spotify.com/track/48q0vSHcJdhK3IiXH8C5WJ
150,20/01/2022,Curame,Rauw Alejandro,1,824339,https://open.spotify.com/track/1FlL8ycld6uVDDyhV7P5FA
151,20/01/2022,Say You Won't Let Go,James Arthur,1,824193,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
152,20/01/2022,Lucid Dreams,Juice WRLD,1,823273,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
153,20/01/2022,family ties (with Kendrick Lamar),Baby Keem,1,822167,https://open.spotify.com/track/3QFInJAm9eyaho5vBzxInN
154,20/01/2022,L’enfer,Stromae,1,820272,https://open.spotify.com/track/7bp3zmEvpHLa0h32nhDUkB
155,20/01/2022,Se Le Ve,Dímelo Flow,1,820087,https://open.spotify.com/track/5W1qmxHrMlQGGAiFA3ZQqP
156,20/01/2022,Peru,Fireboy DML,1,817519,https://open.spotify.com/track/4hJhHbkhZFnxmWbAkZRoe0
157,20/01/2022,The Feels,TWICE,1,816364,https://open.spotify.com/track/1qE8DOtw7zdXHMgZm20eLM
158,19/01/2022,Die For You,The Weeknd,1,814981,https://open.spotify.com/track/2LBqCSwhJGcFQeTHMVGwy3
159,20/01/2022,All of Me,John Legend,1,812184,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
160,20/01/2022,Mr. Brightside,The Killers,1,811889,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
161,20/01/2022,Enemy - From the series Arcane League of Legends,Imagine Dragons,1,810188,https://open.spotify.com/track/5UlnuulVAVmmesw4VzqHdG
162,20/01/2022,Falling,Harry Styles,1,807662,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
163,20/01/2022,Bored,Billie Eilish,2,806206,https://open.spotify.com/track/04sN26COy28wTXYj3dMoiZ
164,20/01/2022,Arcade,Duncan Laurence,1,805241,https://open.spotify.com/track/1J14CdDAvBTE1AJYUOwl6C
165,20/01/2022,2055,Sleepy Hallow,1,804597,https://open.spotify.com/track/4XvcHTUfIlWfyJTRG0aqlo
166,20/01/2022,Bloqueado - Ao Vivo,Gusttavo Lima,1,804344,https://open.spotify.com/track/6nkoWsFZeFt5dUdNmlIceh
167,20/01/2022,WA DA DA,Kep1er,1,802494,https://open.spotify.com/track/0hQNbQKW2dDATH1ngj4TI6
168,20/01/2022,Shallow,Lady Gaga,2,801521,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
169,20/01/2022,Blank Space,Taylor Swift,2,799472,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
170,20/01/2022,AM Remix,Nio Garcia,1,798877,https://open.spotify.com/track/05bfbizlM5AX6Mf1RRyMho
171,20/01/2022,DANCE CRIP,Trueno,1,795039,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV
172,20/01/2022,Streets,Doja Cat,2,793135,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
173,20/01/2022,OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,1,792133,https://open.spotify.com/track/6Dy1jexKYriXAVG6evyUTJ
174,20/01/2022,Space Song,Beach House,1,791151,https://open.spotify.com/track/7H0ya83CMmgFcOhw0UB6ow
175,20/01/2022,Astronaut In The Ocean,Masked Wolf,1,790144,https://open.spotify.com/track/6E90gq0KO6FYZVOXx8kCcC
176,19/01/2022,Best Friends,The Weeknd,1,789832,https://open.spotify.com/track/1E5Xu8dur0fAjSP1VpVhAZ
177,20/01/2022,Riptide,Vance Joy,1,787735,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
178,20/01/2022,Gangsta's Paradise,Coolio,1,786000,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
179,20/01/2022,All For Us - from the HBO Original Series Euphoria,Labrinth,1,785376,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
180,20/01/2022,Problemon,Alvaro Diaz,1,784952,https://open.spotify.com/track/1mSviQV9iQnGSRyvTIuxAj
181,20/01/2022,Enchanted,Taylor Swift,2,784881,https://open.spotify.com/track/04S1pkp1VaIqjg8zZqknR5
182,20/01/2022,Memories,Maroon 5,1,784065,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
183,20/01/2022,When I'm Gone (with Katy Perry),Alesso,2,782345,https://open.spotify.com/track/5902W4uHWzhtOff1UK7the
184,20/01/2022,No Role Modelz,J. Cole,1,781454,https://open.spotify.com/track/68Dni7IE4VyPkTOH9mRWHr
185,20/01/2022,Heartbreak Anniversary,Giveon,1,780838,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
186,20/01/2022,Payphone,Maroon 5,1,778971,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
187,20/01/2022,Esqueça-Me Se For Capaz,Marília Mendonça,1,777965,https://open.spotify.com/track/4qsOrxBv09HhNSpsgMRXdC
