,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
55,"TO THE MOON","Jnr Choi",1238462,https://open.spotify.com/track/5vUnjhBzRJJIAOJPde6zDx
56,MONEY,LISA,1237375,https://open.spotify.com/track/7hU3IHwjX150XLoTVmjD0q
57,"One Right Now (with The Weeknd)","Post Malone",1223545,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
58,"The Family Madrigal","Stephanie Beatriz",1205683,https://open.spotify.com/track/4b1yxSdlumA8N4fEk4UOZp
59,"Todo De Ti","Rauw Alejandro",1203226,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
60,"Save Your Tears (with Ariana Grande) (Remix)","The Weeknd",1192929,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
61,"Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,1192593,https://open.spotify.com/track/2Gq636OOGgxCTqEuzCZhsa
62,"MIDDLE OF THE NIGHT","Elley Duhé",1192218,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
63,"Watermelon Sugar","Harry Styles",1154523,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
64,Lost,"Frank Ocean",1135979,https://open.spotify.com/track/1bjhYUwKUHEg5fHknxFObO
65,"I Hate U",SZA,1124192,https://open.spotify.com/track/5dXWFMwD7I7zXsInONVl0H
66,"Dark Red","Steve Lacy",1109442,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
67,"Save Your Tears","The Weeknd",1093891,https://open.spotify.com/track/5QO79kh1waicV47BqGRL3g
68,"Peaches (feat. Daniel Caesar & Giveon)","Justin Bieber",1082439,https://open.spotify.com/track/4iJyoBOLtHqaGxP12qzhQI
69,"Volando - Remix",Mora,1057630,https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe
70,"It'll Be Okay","Shawn Mendes",1053980,https://open.spotify.com/track/2KnLkZ3z7PO3kgVGHGqDpD
71,"What Else Can I Do?","Diane Guerrero",1050880,https://open.spotify.com/track/3XoYqtiWHhsk59frZupImG
72,"Entre Nosotros (Remix) [con Nicki Nicole]","Tiago PZK",1050258,https://open.spotify.com/track/4TGwERXRlyQtBdggYTHo6j
73,"Mal Feito - Ao Vivo","Hugo & Guilherme",1047848,https://open.spotify.com/track/5719MEdRQcH4c3phXqX7WN
74,"Every Summertime",NIKI,1042894,https://open.spotify.com/track/68HocO7fx9z0MgDU0ZPHro
75,"deja vu","Olivia Rodrigo",1039965,https://open.spotify.com/track/6HU7h9RYOaPRFeh0R3UeAr
76,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",1039783,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
77,Butter,BTS,1032292,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
78,Nostálgico,Rvssian,1028399,https://open.spotify.com/track/2BEcap3xJtmiPaHKyfQi4e
79,"Another Love","Tom Odell",1025337,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
80,"Meet Me At Our Spot","THE ANXIETY",1018167,https://open.spotify.com/track/07MDkzWARZaLEdKxo6yArG
81,"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",1017949,https://open.spotify.com/track/5enxwA8aAbwZbf5qCHORXi
82,High,"The Chainsmokers",1016030,https://open.spotify.com/track/3t4KHjd8uQpJJ2fa0fRIpR
83,505,"Arctic Monkeys",1015883,https://open.spotify.com/track/58ge6dfP91o9oXMzq3XkIS
84,"Without Me",Eminem,1014060,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk
85,"You Right","Doja Cat",1010516,https://open.spotify.com/track/0k4d5YPDr1r7FX77VdqWez
86,"Someone You Loved","Lewis Capaldi",1010123,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
87,"Down Under (feat. Colin Hay)",Luude,1007782,https://open.spotify.com/track/7AVyve7cFYTd51ha5i9kE2
88,"love nwantiti (feat. Dj Yo! & AX'EL) - Remix",CKay,1003287,https://open.spotify.com/track/4gvrJnKCKIPiacNsWVQwEU
89,Dynamite,BTS,997202,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
90,"Vai Lá Em Casa Hoje","George Henrique & Rodrigo",994173,https://open.spotify.com/track/1c4htMHiolERc0YJvZNdlc
91,"Smokin Out The Window","Bruno Mars",990376,https://open.spotify.com/track/7sMBvZCSUl99bJLXZaLa0b
92,Believer,"Imagine Dragons",988828,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
93,Freaks,"Surf Curse",977298,https://open.spotify.com/track/7EkWXAI1wn8Ii883ecd9xr
94,"Dos Oruguitas","Sebastian Yatra",973858,https://open.spotify.com/track/5rohUzwEoRsUvAA1Bf3DLo
95,"Better Days (NEIKED x Mae Muller x Polo G)",NEIKED,963967,https://open.spotify.com/track/6f5ExP43esnvdKPddwKXJH
96,"Bloqueado - Ao Vivo","Gusttavo Lima",963839,https://open.spotify.com/track/6nkoWsFZeFt5dUdNmlIceh
97,212,"Chefin Oficial",960138,https://open.spotify.com/track/3QGxgNaqaFSpORp2OVLXHR
98,"lovely (with Khalid)","Billie Eilish",948641,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
99,Formula,Labrinth,941634,https://open.spotify.com/track/6EtKlIQmGPB9SX8UjDJG5s
100,"Daddy Issues","The Neighbourhood",939459,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
101,"Don't Start Now","Dua Lipa",925168,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
102,Swim,"Chase Atlantic",913389,https://open.spotify.com/track/3M0lSi5WW79CXQamgSBIjx
103,"The Real Slim Shady",Eminem,913176,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
104,"SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)",Amaarae,909632,https://open.spotify.com/track/09gysnJpfQ3ublBmJDfcEC
105,"Lost in the Fire (feat. The Weeknd)",Gesaffelstein,905529,https://open.spotify.com/track/2vXKRlJBXyOcvZYTdNeckS
106,"I AM WOMAN","Emmy Meli",900582,https://open.spotify.com/track/3nOz1U41SZZ0N3fuUWr9nb
107,"Mood (feat. iann dior)",24kGoldn,898004,https://open.spotify.com/track/4jPy3l0RUwlUI9T5XHBW2m
108,"All For Us - from the HBO Original Series Euphoria",Labrinth,897857,https://open.spotify.com/track/10hMM5nsZQf66ldBlgWBfG
109,Notion,"The Rare Occasions",895520,https://open.spotify.com/track/0sTlGEld0h8kIPZaKDYUf4
110,"Out of Time","The Weeknd",891337,https://open.spotify.com/track/2SLwbpExuoBDZBpjfefCtV
