,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"All I Want for Christmas Is You","Mariah Carey",5803653,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
2,"Last Christmas",Wham!,5201163,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78
3,DÁKITI,"Bad Bunny",5078110,https://open.spotify.com/track/4MzXwWMhyBbmu6hOcLVD49
4,"Santa Tell Me","Ariana Grande",4209904,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
5,"Rockin' Around The Christmas Tree","Brenda Lee",4086356,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
6,"It's Beginning to Look a Lot like Christmas","Michael Bublé",3929432,https://open.spotify.com/track/0lLdorYw7lVrJydTINhWdI
7,"Jingle Bell Rock","Bobby Helms",3884373,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
8,"It's the Most Wonderful Time of the Year","Andy Williams",3554203,https://open.spotify.com/track/1IcR6RlgvDczfvoWJSSY2A
9,BICHOTA,"KAROL G",3435880,https://open.spotify.com/track/7vrJn5hDSXRmdXoR30KgF1
10,"Mood (feat. iann dior)",24kGoldn,3319452,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq
11,positions,"Ariana Grande",3189892,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
12,"Underneath the Tree","Kelly Clarkson",3169513,https://open.spotify.com/track/3nAp4IvdMPPWEH9uuXFFV5
13,"Blinding Lights","The Weeknd",2918606,https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b
14,Snowman,Sia,2755612,https://open.spotify.com/track/7uoFMmxln0GPXQ0AcCBXRq
15,"Let It Snow! Let It Snow! Let It Snow!","Dean Martin",2679185,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
16,"Feliz Navidad","José Feliciano",2665339,https://open.spotify.com/track/3qCeq0rWK67SoBDgFd2sId
17,Mistletoe,"Justin Bieber",2648183,https://open.spotify.com/track/7xapw9Oy21WpfEcib2ErSA
18,34+35,"Ariana Grande",2632632,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
19,"LA NOCHE DE ANOCHE","Bad Bunny",2614124,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
20,Dynamite,BTS,2601359,https://open.spotify.com/track/4saklk6nie3yiGePpBwUoc
21,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",2597753,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
22,"Sleigh Ride","The Ronettes",2552418,https://open.spotify.com/track/7fUYUcWy853HS8YJn0b3Sr
23,"Do They Know It's Christmas? - 1984 Version","Band Aid",2544964,https://open.spotify.com/track/0247StOpd3AkeBQzANX4Zf
24,"Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet)","Frank Sinatra",2499481,https://open.spotify.com/track/4kKdvXD0ez7jp1296JmAts
25,willow,"Taylor Swift",2392573,https://open.spotify.com/track/3Uo7WG0vmLQ07WB4BDwy7D
26,"Therefore I Am","Billie Eilish",2369847,https://open.spotify.com/track/54bFM56PmE4YLRnqpW6Tha
27,"Holly Jolly Christmas","Michael Bublé",2365425,https://open.spotify.com/track/6tjituizSxwSmBB5vtgHZE
28,"Driving Home for Christmas - 2019 Remaster","Chris Rea",2341708,https://open.spotify.com/track/27qAMKrDdKEs8HDXcvR24R
29,"Wonderful Christmastime - Edited Version / Remastered 2011","Paul McCartney",2335071,https://open.spotify.com/track/1SV1fxF65n9NhRHp3KlBuu
30,"Happy Xmas (War Is Over) - Remastered 2010","John Lennon",2247849,https://open.spotify.com/track/27RYrbL6S02LNVhDWVl38b
31,"WITHOUT YOU","The Kid LAROI",2217920,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
32,Whoopty,CJ,2148101,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
33,"What You Know Bout Love","Pop Smoke",2123359,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
34,Hawái,Maluma,2079230,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
35,HOLIDAY,"Lil Nas X",2042007,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
36,"Monster (Shawn Mendes & Justin Bieber)","Shawn Mendes",1984466,https://open.spotify.com/track/1HbA4N1MiOsPthALesGFR1
37,"WAP (feat. Megan Thee Stallion)","Cardi B",1946714,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
38,"Levitating (feat. DaBaby)","Dua Lipa",1852048,https://open.spotify.com/track/5nujrmhLynf4yMoMtj8AQF
39,"The Christmas Song (Merry Christmas To You)","Nat King Cole",1836918,https://open.spotify.com/track/4PS1e8f2LvuTFgUs1Cn3ON
40,"you broke me first","Tate McRae",1828202,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
41,"Lonely (with benny blanco)","Justin Bieber",1827952,https://open.spotify.com/track/4y4spB9m0Q6026KfkAvy9Q
42,"Watermelon Sugar","Harry Styles",1784270,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY
43,Reloj,"Rauw Alejandro",1762524,https://open.spotify.com/track/4loQgPwJHocL3dFwLfjb1J
44,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,1694464,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
45,"La Nota","Manuel Turizo",1684428,https://open.spotify.com/track/7ndTONDDRFGiPnnhOzOXxq
46,"Prisoner (feat. Dua Lipa)","Miley Cyrus",1666624,https://open.spotify.com/track/2Oycxb8QbPkpHTo8ZrmG0B
47,"Head & Heart (feat. MNEK)","Joel Corry",1665200,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
48,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",1618747,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
49,"Merry Christmas Everyone","Shakin' Stevens",1614194,https://open.spotify.com/track/2TE4xW3ImvpltVU0cPcKUn
50,"Dance Monkey","Tones And I",1597249,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
51,"Someone You Loved","Lewis Capaldi",1580643,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
52,"White Christmas","Bing Crosby",1578601,https://open.spotify.com/track/4so0Wek9Ig1p6CRCHuINwW
53,"Relación - Remix",Sech,1573972,https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl
54,"Chica Ideal","Sebastian Yatra",1552823,https://open.spotify.com/track/21N4Buj4xsyLb218lYle61
55,"A Holly Jolly Christmas - Single Version","Burl Ives",1551166,https://open.spotify.com/track/77khP2fIVhSW23NwxrRluh
